CustomerID,Age,Gender,City,Education,AnnualIncome_INR,Tenure_Months,Orders,AverageOrderValue_INR,TotalSpend_INR,Recency_Days,WebsiteVisits,AppUsage,DiscountUsage,SatisfactionScore
CUST0034,40,Female,Ahmedabad,High School,43000,59,15,1572,23580,11,11,19,9,4.7
CUST0035,28,Male,Ahmedabad,Postgraduate,45200,55,22,1387,30514,42,18,17,12,4.7
CUST0036,58,Male,Jaipur,Graduate,35700,13,9,2568,23112,44,7,17,8,3.0
CUST0037,37,Male,Mumbai,Graduate,25300,13,8,1774,14192,38,7,10,10,2.8
CUST0038,23,Male,Hyderabad,Postgraduate,54400,18,10,1932,19320,70,11,12,9,4.1
CUST0039,44,Male,Nagpur,Diploma,101100,32,15,2421,36315,30,10,17,9,4.2
CUST0040,33,Male,Bengaluru,Graduate,18000,32,13,778,10114,68,10,14,7,4.0
CUST0041,28,Male,Ahmedabad,Postgraduate,86300,35,8,2603,20824,68,12,13,6,2.1
CUST0042,45,Male,Delhi,High School,84200,59,14,1866,26124,45,10,12,10,3.0
CUST0043,21,Female,Delhi,Graduate,78900,39,13,2319,30147,35,12,20,7,3.7
CUST0044,39,Male,Mumbai,Diploma,83300,46,9,1213,10917,39,8,14,7,4.1
CUST0045,47,Male,Mumbai,Graduate,37400,52,9,624,5616,79,12,17,7,4.3
CUST0046,26,Female,Nagpur,Graduate,84000,29,3,2446,7338,56,10,15,7,3.8
CUST0047,27,Female,Pune,Graduate,51300,49,10,1962,19620,12,9,18,7,4.0
CUST0048,54,Female,Pune,Postgraduate,18000,29,3,932,2796,37,9,13,4,3.8
CUST0049,33,Male,Mumbai,Postgraduate,66400,53,13,1243,16159,14,9,16,10,4.2
CUST0050,36,Female,Kolkata,Graduate,43900,44,11,2405,26455,17,8,20,7,4.0
CUST0051,55,Female,Chennai,Diploma,99000,57,16,1231,19696,21,8,15,7,3.8
CUST0052,59,Female,Chennai,Postgraduate,57800,16,7,2825,19775,8,11,9,5,3.5
CUST0053,23,Female,Nagpur,Postgraduate,66100,56,10,1221,12210,13,13,16,2,3.8
CUST0054,21,Female,Nagpur,Graduate,74700,44,9,2273,20457,72,16,20,5,4.1
CUST0055,25,Female,Jaipur,Diploma,58300,47,22,1546,34012,17,19,14,8,3.9
CUST0056,23,Female,Hyderabad,Graduate,62400,57,14,2176,30464,49,15,16,4,4.0
CUST0057,48,Male,Delhi,Graduate,86100,10,17,1573,26741,32,12,15,10,4.8
CUST0058,37,Female,Chennai,Graduate,38300,30,19,1534,29146,41,14,20,5,3.9
CUST0059,45,Female,Kolkata,Graduate,47500,25,12,1722,20664,42,13,16,5,3.2
CUST0060,53,Male,Mumbai,Diploma,40800,39,17,1003,17051,13,13,25,5,4.4
CUST0061,29,Female,Ahmedabad,Graduate,100900,20,18,2497,44946,49,11,18,3,2.6
CUST0062,55,Male,Kolkata,Graduate,47500,5,9,1361,12249,10,12,14,9,2.8
CUST0063,33,Male,Jaipur,Diploma,61400,1,11,1630,17930,16,14,9,9,4.0
CUST0064,50,Female,Kolkata,Postgraduate,50000,30,7,1064,7448,42,11,12,8,4.1
CUST0065,34,Male,Ahmedabad,Diploma,57300,49,13,400,5200,12,14,16,5,2.7
CUST0066,27,Male,Bengaluru,Graduate,46600,3,17,1565,26605,4,11,11,6,3.4
CUST0067,33,Male,Pune,Postgraduate,76600,45,10,3438,34380,36,9,16,7,3.2
CUST0068,42,Male,Bengaluru,Graduate,39000,14,15,2154,32310,7,10,17,11,3.3
CUST0069,59,Male,Delhi,High School,31200,56,15,1585,23775,44,7,17,6,4.5
CUST0070,40,Male,Delhi,Postgraduate,51000,30,16,1545,24720,22,12,15,8,4.3
CUST0071,35,Male,Chennai,Postgraduate,45000,50,12,1695,20340,35,13,23,7,3.7
CUST0072,37,Female,Ahmedabad,Graduate,31600,4,10,1955,19550,35,13,9,6,3.3
CUST0073,43,Female,Delhi,Graduate,56900,18,11,984,10824,47,8,20,7,2.6
CUST0074,45,Male,Nagpur,Graduate,23500,37,11,2275,25025,43,14,13,4,4.8
CUST0075,44,Female,Chennai,Graduate,108200,25,13,2524,32812,12,12,15,9,4.2
CUST0076,60,Male,Jaipur,Graduate,27700,48,9,2043,18387,23,9,16,5,3.1
CUST0077,48,Male,Chennai,Postgraduate,48800,1,13,1988,25844,35,10,12,8,4.3
CUST0078,34,Male,Bengaluru,Graduate,54900,53,13,1752,22776,69,12,14,4,3.6
CUST0079,20,Female,Mumbai,Diploma,107100,46,15,2490,37350,43,17,15,11,3.5
CUST0080,44,Female,Nagpur,Graduate,21700,15,12,1925,23100,65,16,12,5,4.0
CUST0081,26,Male,Nagpur,Graduate,68600,9,11,1591,17501,37,10,18,10,3.1
CUST0082,28,Male,Hyderabad,Diploma,90900,15,17,1583,26911,57,11,18,9,3.4
CUST0083,43,Male,Nagpur,Postgraduate,57300,49,13,1820,23660,33,10,11,11,3.8
CUST0084,20,Male,Nagpur,Graduate,35800,57,20,2632,52640,55,17,20,7,3.3
CUST0085,27,Female,Bengaluru,Graduate,62300,24,8,978,7824,21,12,18,8,4.2
CUST0086,43,Male,Kolkata,Postgraduate,103200,4,14,1075,15050,74,12,18,6,5.0
CUST0087,30,Female,Nagpur,Graduate,49600,12,12,1815,21780,40,11,15,5,3.1
CUST0088,36,Male,Mumbai,Graduate,100900,59,14,2048,28672,8,11,16,7,2.4
CUST0089,27,Female,Pune,Postgraduate,71500,58,15,1952,29280,36,7,16,5,2.1
CUST0090,54,Female,Bengaluru,Graduate,95800,37,14,2143,30002,43,10,9,12,3.6
CUST0091,54,Male,Bengaluru,Graduate,70500,37,14,1688,23632,50,19,15,4,3.2
CUST0092,52,Female,Kolkata,High School,52900,43,11,2696,29656,90,9,17,7,3.9
CUST0093,24,Female,Hyderabad,Diploma,106000,60,12,1005,12060,19,9,8,8,3.8
CUST0094,58,Male,Kolkata,Graduate,70600,6,8,1295,10360,91,10,11,7,2.4
CUST0095,60,Male,Chennai,Postgraduate,69200,39,14,1758,24612,28,9,12,8,2.2
CUST0096,47,Female,Pune,Graduate,85200,56,13,853,11089,15,16,23,4,3.9
CUST0097,26,Male,Delhi,Diploma,88100,46,21,1824,38304,19,18,15,7,3.8
CUST0098,28,Male,Jaipur,Postgraduate,85300,24,15,3002,45030,41,8,15,6,3.4
CUST0099,27,Male,Delhi,Graduate,31200,11,20,1611,32220,14,17,18,10,2.4
CUST0100,31,Female,Hyderabad,Graduate,49100,13,9,1855,16695,22,16,18,8,4.1
CUST0101,53,Female,Hyderabad,Graduate,48600,34,13,882,11466,36,8,13,11,4.7
CUST0102,52,Female,Nagpur,Postgraduate,45500,25,10,1282,12820,73,13,15,3,3.9
CUST0103,42,Female,Kolkata,Postgraduate,43200,7,15,1425,21375,49,11,14,6,3.0
CUST0104,43,Male,Chennai,Graduate,48200,52,16,1493,23888,29,11,13,5,3.7
CUST0105,56,Female,Nagpur,Graduate,73400,4,14,2683,37562,41,11,18,2,2.6
CUST0106,54,Female,Ahmedabad,Graduate,77400,59,13,2237,29081,33,12,20,5,4.5
CUST0107,59,Male,Chennai,Graduate,65000,8,13,1078,14014,10,11,13,8,3.8
CUST0108,41,Male,Hyderabad,Graduate,54300,20,9,1896,17064,82,15,17,5,2.3
CUST0109,46,Male,Hyderabad,Postgraduate,96900,29,17,2315,39355,74,16,22,7,3.5
CUST0110,54,Female,Bengaluru,Postgraduate,62700,54,9,2527,22743,27,10,17,10,4.1
CUST0111,20,Female,Ahmedabad,High School,88400,53,13,2968,38584,20,17,15,8,3.4
CUST0112,54,Female,Nagpur,High School,50800,51,14,1055,14770,11,11,15,6,3.5
CUST0113,56,Female,Hyderabad,Postgraduate,75300,45,11,1335,14685,43,11,14,6,2.7
CUST0114,33,Male,Ahmedabad,Postgraduate,98600,46,11,1184,13024,43,5,16,7,4.2
CUST0115,22,Female,Pune,High School,18000,10,14,1366,19124,15,12,12,5,3.2
CUST0116,20,Female,Jaipur,Graduate,48600,43,9,2005,18045,34,14,10,8,2.0
CUST0117,24,Male,Kolkata,Graduate,79800,34,8,2531,20248,48,13,12,6,3.4
CUST0118,45,Female,Hyderabad,Graduate,95300,57,13,1932,25116,19,11,23,9,4.5
CUST0119,33,Male,Pune,Postgraduate,70100,26,6,1623,9738,24,12,13,8,3.4
CUST0120,58,Female,Chennai,Diploma,66200,41,9,1906,17154,24,14,15,8,5.0
CUST0121,46,Female,Kolkata,Graduate,105300,49,21,1499,31479,15,13,17,6,4.0
CUST0122,28,Female,Ahmedabad,Postgraduate,96800,58,16,3349,53584,25,11,16,5,4.0
CUST0123,34,Female,Kolkata,Postgraduate,43300,3,10,625,6250,7,6,18,9,3.6
CUST0124,34,Male,Delhi,Graduate,67900,56,13,1937,25181,23,11,17,7,3.6
CUST0125,45,Female,Bengaluru,Graduate,74000,6,12,3169,38028,23,13,14,5,3.5
CUST0126,32,Male,Ahmedabad,Graduate,108000,5,12,2062,24744,27,12,13,5,3.5
CUST0127,51,Female,Pune,Graduate,86700,5,8,1807,14456,39,10,14,5,4.1
CUST0128,58,Female,Hyderabad,Diploma,62400,54,7,1552,10864,10,10,21,9,3.0
CUST0129,51,Female,Ahmedabad,Diploma,70500,47,15,1716,25740,12,13,18,5,2.8
CUST0130,23,Male,Mumbai,Diploma,18000,23,18,2410,43380,15,14,19,7,2.8
CUST0131,49,Female,Delhi,Postgraduate,89200,49,11,507,5577,9,10,12,7,5.0
CUST0132,56,Female,Pune,Diploma,81100,9,12,2893,34716,42,9,14,7,4.1
CUST0133,42,Female,Chennai,Postgraduate,95300,35,16,1056,16896,18,14,9,9,3.9
CUST0134,58,Male,Mumbai,Postgraduate,61400,20,15,1605,24075,27,15,19,9,2.9
CUST0135,34,Male,Ahmedabad,Postgraduate,68200,58,9,1540,13860,14,14,14,7,4.2
CUST0136,48,Male,Bengaluru,Postgraduate,53000,49,12,2111,25332,21,13,15,3,3.6
CUST0137,55,Female,Mumbai,Graduate,36300,59,11,589,6479,35,10,14,7,3.9
CUST0138,32,Female,Kolkata,Postgraduate,49900,42,13,2010,26130,36,11,23,8,2.9
CUST0139,51,Female,Ahmedabad,Graduate,19500,35,18,2843,51174,12,13,18,7,3.8
CUST0140,26,Male,Pune,Postgraduate,87900,50,11,1051,11561,26,12,15,8,3.4
CUST0141,41,Male,Ahmedabad,Graduate,18000,18,15,1641,24615,14,9,15,5,3.1
CUST0142,47,Female,Bengaluru,Graduate,115800,17,10,1675,16750,26,12,15,8,4.3
CUST0143,21,Female,Jaipur,High School,20900,24,8,1812,14496,17,13,12,5,2.5
CUST0144,25,Female,Kolkata,Graduate,102500,3,17,2037,34629,85,16,16,8,4.2
CUST0145,47,Female,Hyderabad,Graduate,42300,32,18,1247,22446,48,6,17,6,4.2
CUST0146,47,Male,Ahmedabad,Graduate,79000,35,13,2201,28613,37,10,15,8,3.0
CUST0147,39,Female,Bengaluru,Diploma,46200,38,8,2860,22880,23,14,11,4,3.0
CUST0148,49,Female,Mumbai,Postgraduate,106800,13,15,1927,28905,49,17,17,6,3.5
CUST0149,30,Male,Mumbai,Postgraduate,66100,56,11,2274,25014,27,12,18,8,3.9
CUST0150,47,Male,Pune,Diploma,91800,47,25,1120,28000,79,16,22,5,3.6
CUST0151,44,Male,Kolkata,Graduate,66900,25,21,1190,24990,52,15,17,9,4.0
CUST0152,58,Male,Mumbai,Graduate,73800,9,10,2160,21600,21,11,13,8,5.0
CUST0153,52,Female,Hyderabad,Graduate,80400,4,11,2857,31427,74,9,12,7,3.3
CUST0154,20,Male,Jaipur,Postgraduate,51800,14,13,1952,25376,23,7,16,6,2.3
CUST0155,46,Male,Jaipur,Postgraduate,33000,37,13,1405,18265,88,14,13,7,4.4
CUST0156,32,Male,Pune,Graduate,32500,34,8,1605,12840,76,14,10,7,5.0
CUST0157,60,Female,Ahmedabad,Graduate,66300,11,15,995,14925,35,9,20,7,4.0
CUST0158,22,Male,Mumbai,Graduate,52800,41,8,2120,16960,7,8,16,8,2.8
CUST0159,58,Female,Bengaluru,Postgraduate,18000,56,10,2092,20920,33,11,19,7,3.6
CUST0160,25,Male,Chennai,Graduate,77800,3,14,1583,22162,11,11,12,5,2.8
CUST0161,27,Male,Jaipur,Graduate,34500,59,16,1311,20976,17,16,17,5,4.2
CUST0162,46,Male,Nagpur,Graduate,36000,28,10,1799,17990,18,8,18,2,2.6
CUST0163,28,Male,Pune,Postgraduate,64000,29,12,1510,18120,11,14,18,6,3.5
CUST0164,56,Male,Ahmedabad,Postgraduate,42500,9,11,1622,17842,33,15,13,8,2.9
CUST0165,52,Male,Delhi,Graduate,68100,3,11,3183,35013,16,14,19,9,3.8
CUST0166,43,Female,Pune,Postgraduate,114300,25,19,1935,36765,24,10,15,5,3.4
CUST0167,34,Female,Bengaluru,Postgraduate,55500,34,11,1510,16610,18,12,18,11,3.8
CUST0168,51,Male,Chennai,High School,38500,12,15,1220,18300,39,10,15,7,3.7
CUST0169,51,Male,Nagpur,Graduate,69500,42,12,2311,27732,37,12,16,10,2.9
CUST0170,43,Female,Jaipur,Postgraduate,45600,9,21,1566,32886,22,14,16,8,4.2
CUST0171,60,Female,Kolkata,Graduate,65600,15,7,1382,9674,40,8,10,8,3.7
CUST0172,31,Male,Nagpur,Graduate,72900,40,11,2706,29766,61,12,21,4,2.9
CUST0173,58,Female,Jaipur,Postgraduate,64100,25,7,2717,19019,3,8,19,5,5.0
CUST0174,21,Female,Delhi,Graduate,66400,5,8,1418,11344,18,12,15,2,4.1
CUST0175,22,Female,Delhi,Graduate,69800,11,15,616,9240,13,8,20,8,3.6
CUST0176,56,Male,Jaipur,Graduate,104900,59,15,2694,40410,16,12,13,6,4.8
CUST0177,36,Male,Kolkata,Graduate,58700,34,12,1317,15804,3,8,19,9,5.0
CUST0178,21,Male,Pune,Graduate,68200,24,15,2333,34995,3,10,16,6,3.6
CUST0179,21,Female,Kolkata,Graduate,86700,60,14,650,9100,19,9,14,9,4.0
CUST0180,47,Female,Mumbai,Postgraduate,76800,15,12,2451,29412,19,12,16,5,2.9
CUST0181,42,Male,Jaipur,Diploma,56000,38,13,959,12467,67,12,10,5,3.6
CUST0182,56,Female,Jaipur,Graduate,87500,8,8,2410,19280,31,10,14,6,3.5
CUST0183,51,Female,Kolkata,Postgraduate,43200,59,12,1678,20136,40,10,13,6,3.8
CUST0184,52,Female,Hyderabad,Diploma,59300,5,3,1146,3438,120,15,13,6,4.0
CUST0185,20,Female,Hyderabad,Graduate,45700,48,14,1420,19880,3,12,22,9,4.1
CUST0186,38,Female,Bengaluru,Graduate,79400,26,6,2333,13998,80,8,13,4,3.9
CUST0187,21,Male,Hyderabad,Diploma,94700,18,24,2047,49128,27,17,23,6,2.7
CUST0188,45,Female,Delhi,Postgraduate,70600,6,10,2213,22130,20,14,10,9,2.9
CUST0189,51,Female,Mumbai,Graduate,66900,37,10,3096,30960,18,13,16,4,3.3
CUST0190,25,Male,Jaipur,Graduate,43100,60,14,652,9128,35,15,19,10,3.5
CUST0191,51,Male,Nagpur,Postgraduate,47400,48,8,2746,21968,20,11,11,12,4.5
CUST0192,23,Female,Delhi,High School,35200,13,14,1689,23646,11,11,24,4,2.8
CUST0193,30,Male,Bengaluru,Graduate,18000,28,9,934,8406,18,9,16,6,3.4
CUST0194,36,Female,Chennai,High School,55200,5,10,876,8760,36,10,13,6,4.5
CUST0195,57,Male,Mumbai,Graduate,57500,13,13,1632,21216,45,8,17,9,3.5
CUST0196,43,Male,Hyderabad,Graduate,119300,17,13,2725,35425,86,15,18,7,4.1
CUST0197,24,Male,Ahmedabad,Graduate,104100,50,17,1952,33184,30,13,17,8,3.6
CUST0198,53,Male,Pune,Postgraduate,78900,40,13,2866,37258,64,15,16,8,3.9
CUST0199,25,Female,Nagpur,Graduate,117100,45,19,1169,22211,24,16,21,4,3.5
CUST0200,41,Female,Jaipur,Graduate,99800,32,17,2001,34017,27,12,16,9,4.2
CUST0201,30,Male,Chennai,Diploma,18000,29,7,704,4928,26,12,9,8,2.5
CUST0202,35,Male,Pune,High School,91700,51,22,2197,48334,33,19,24,7,3.4
CUST0203,52,Male,Kolkata,Graduate,82800,58,11,2483,27313,50,7,17,10,3.9
CUST0204,28,Male,Kolkata,Graduate,57800,3,11,1483,16313,20,13,13,8,4.1
CUST0205,25,Female,Mumbai,Diploma,29600,56,19,400,7600,13,13,13,5,4.9
CUST0206,35,Male,Mumbai,Postgraduate,79900,40,7,2019,14133,52,14,18,7,3.4
CUST0207,48,Male,Mumbai,Graduate,18000,34,17,1802,30634,50,11,18,7,4.9
CUST0208,22,Male,Delhi,High School,64500,40,10,2060,20600,70,11,8,4,3.2
CUST0209,39,Male,Delhi,Graduate,49600,27,18,2511,45198,17,9,22,11,4.8
CUST0210,55,Male,Kolkata,Postgraduate,33500,13,15,915,13725,24,14,11,5,4.4
CUST0211,38,Male,Mumbai,Graduate,94700,45,19,2420,45980,54,12,16,8,3.0
CUST0212,45,Female,Nagpur,Postgraduate,64000,33,8,2569,20552,19,10,18,7,3.9
CUST0213,22,Female,Bengaluru,Graduate,69300,6,4,670,2680,43,11,19,3,3.7
CUST0214,38,Female,Mumbai,Postgraduate,87700,24,16,2144,34304,24,12,19,10,4.2
CUST0215,39,Male,Jaipur,High School,64800,19,12,1471,17652,35,11,15,9,3.5
CUST0216,51,Male,Nagpur,Graduate,76300,16,15,1815,27225,10,11,23,7,3.5
CUST0217,26,Female,Jaipur,Postgraduate,85400,40,13,2148,27924,30,13,14,5,4.8
CUST0218,60,Female,Ahmedabad,Graduate,79200,28,10,1569,15690,61,7,12,5,3.6
CUST0219,52,Female,Kolkata,Diploma,72100,33,13,1403,18239,47,13,17,6,4.4
CUST0220,59,Male,Mumbai,High School,109600,59,12,2090,25080,13,12,9,6,3.5
CUST0221,58,Male,Hyderabad,Diploma,96000,59,11,1279,14069,81,8,17,7,5.0
CUST0222,37,Female,Pune,Postgraduate,62900,48,15,1082,16230,58,14,16,11,3.2
CUST0223,59,Female,Mumbai,High School,42300,41,13,2105,27365,11,13,9,7,3.2
CUST0224,20,Female,Bengaluru,Graduate,81000,13,13,1149,14937,18,16,12,10,4.9
CUST0225,30,Female,Ahmedabad,Graduate,70400,43,10,2266,22660,11,9,17,8,3.3
CUST0226,47,Female,Mumbai,Postgraduate,107700,45,16,2357,37712,36,14,19,7,5.0
CUST0227,44,Male,Pune,Graduate,89700,25,15,826,12390,18,11,19,9,4.4
CUST0228,42,Female,Pune,Diploma,84100,53,15,1474,22110,4,10,21,7,3.6
CUST0229,50,Female,Delhi,Postgraduate,65300,42,20,2578,51560,27,18,14,9,2.2
CUST0230,49,Female,Bengaluru,Graduate,43100,36,10,1031,10310,51,14,21,6,3.7
CUST0231,54,Male,Bengaluru,Graduate,60100,27,10,1469,14690,30,10,19,5,3.8
CUST0232,26,Male,Nagpur,Graduate,76900,38,11,2172,23892,41,11,11,9,4.6
CUST0233,35,Female,Hyderabad,Postgraduate,21800,60,17,2050,34850,32,9,15,7,5.0
CUST0234,45,Male,Bengaluru,Graduate,96000,7,15,1822,27330,46,14,12,10,3.2
CUST0235,21,Female,Ahmedabad,Graduate,116700,5,18,1722,30996,34,9,13,10,4.3
CUST0236,20,Male,Hyderabad,Postgraduate,18000,43,13,2443,31759,26,12,17,4,4.3
CUST0237,31,Male,Delhi,Diploma,30000,45,15,2720,40800,30,12,17,7,4.6
CUST0238,24,Female,Bengaluru,High School,70700,58,13,2470,32110,72,17,20,6,4.1
CUST0239,56,Male,Delhi,High School,50400,57,13,1768,22984,42,9,13,8,2.1
CUST0240,51,Male,Pune,Diploma,71500,51,13,1314,17082,13,12,14,9,3.6
CUST0241,28,Male,Mumbai,Graduate,63200,31,13,1249,16237,30,9,16,6,2.8
CUST0242,60,Female,Bengaluru,Diploma,39400,23,12,1986,23832,35,15,23,7,3.5
CUST0243,54,Male,Pune,Graduate,97200,42,9,2265,20385,25,12,13,8,4.5
CUST0244,38,Female,Mumbai,Postgraduate,76600,10,15,2781,41715,4,9,15,5,3.9
CUST0245,35,Male,Mumbai,Postgraduate,51000,32,15,2139,32085,14,12,17,9,4.6
CUST0246,22,Female,Pune,Diploma,102600,43,15,1049,15735,20,10,17,8,4.0
CUST0247,39,Male,Jaipur,Graduate,52300,53,10,2408,24080,87,11,14,11,2.7
CUST0248,43,Male,Hyderabad,Graduate,34000,30,6,965,5790,39,11,10,6,1.7
CUST0249,52,Male,Jaipur,Postgraduate,69600,39,13,1578,20514,7,11,18,4,3.8
CUST0250,43,Male,Kolkata,Graduate,73800,31,13,2015,26195,26,9,17,7,3.5
CUST0251,30,Female,Chennai,High School,78300,18,13,3177,41301,65,11,16,4,2.9
CUST0252,27,Male,Mumbai,Postgraduate,82400,36,7,3926,27482,18,9,14,11,2.3
CUST0253,55,Male,Nagpur,Postgraduate,77900,2,16,2272,36352,55,12,19,3,3.1
CUST0254,57,Female,Hyderabad,High School,76900,14,13,1752,22776,7,14,19,8,3.5
CUST0255,59,Male,Mumbai,Postgraduate,50700,13,8,2062,16496,1,9,22,7,4.2
CUST0256,39,Male,Ahmedabad,Graduate,48000,29,10,2275,22750,61,10,14,6,3.9
CUST0257,54,Female,Nagpur,Graduate,83600,12,9,1703,15327,20,12,15,4,5.0
CUST0258,44,Female,Kolkata,Postgraduate,71100,39,10,3003,30030,21,9,13,8,2.9
CUST0259,54,Male,Kolkata,Diploma,85500,2,9,2073,18657,32,11,13,7,4.4
CUST0260,44,Male,Ahmedabad,Diploma,22300,32,11,1867,20537,38,12,20,6,3.7
CUST0261,48,Female,Pune,High School,52500,13,7,2158,15106,2,7,12,10,4.3
CUST0262,37,Male,Hyderabad,Graduate,112700,46,18,2360,42480,17,12,17,6,3.4
CUST0263,37,Female,Delhi,Graduate,78800,27,11,2428,26708,29,11,15,7,4.6
CUST0264,21,Male,Hyderabad,Graduate,72400,49,15,1443,21645,38,14,16,7,3.9
CUST0265,54,Female,Nagpur,Diploma,82700,41,13,1543,20059,13,11,15,4,3.2
CUST0266,35,Male,Jaipur,Graduate,120200,17,19,1416,26904,24,17,14,10,3.7
CUST0267,60,Female,Delhi,Graduate,115000,40,24,2386,57264,18,12,20,6,3.5
CUST0268,55,Male,Kolkata,Postgraduate,25500,31,5,2069,10345,33,7,19,4,4.1
CUST0269,52,Female,Kolkata,Graduate,34700,34,9,1916,17244,59,11,15,6,2.8
CUST0270,23,Male,Pune,Postgraduate,24700,60,17,2647,44999,22,11,12,7,3.7
CUST0271,52,Male,Chennai,Graduate,46300,24,9,1684,15156,8,8,11,7,4.0
CUST0272,33,Female,Hyderabad,Graduate,66400,45,11,2243,24673,16,7,21,8,3.7
CUST0273,40,Female,Pune,Graduate,71100,35,5,1127,5635,81,11,16,4,4.8
CUST0274,39,Female,Nagpur,Diploma,26700,48,17,1319,22423,14,13,19,6,4.3
CUST0275,27,Male,Delhi,Graduate,18300,6,12,1972,23664,10,14,18,9,3.7
CUST0276,26,Female,Ahmedabad,Graduate,45900,19,10,2237,22370,21,13,20,4,3.9
CUST0277,22,Male,Mumbai,Graduate,87900,30,21,1746,36666,26,18,20,9,3.9
CUST0278,36,Female,Jaipur,Graduate,92300,7,23,1917,44091,18,16,25,4,4.0
CUST0279,52,Female,Nagpur,Diploma,107600,10,15,1069,16035,7,14,14,9,2.2
CUST0280,31,Male,Mumbai,Graduate,64200,41,9,1563,14067,35,13,18,6,3.5
CUST0281,41,Female,Hyderabad,High School,85700,32,8,2503,20024,33,11,11,8,2.5
CUST0282,41,Female,Ahmedabad,Graduate,90200,34,17,2325,39525,45,15,21,5,4.7
CUST0283,49,Male,Kolkata,Diploma,52600,28,7,2051,14357,32,9,19,4,3.7
CUST0284,57,Female,Pune,Diploma,74700,60,9,1891,17019,77,14,15,5,3.5
CUST0285,57,Male,Delhi,Postgraduate,81500,15,16,1904,30464,47,15,16,5,4.4
CUST0286,27,Female,Pune,Postgraduate,42300,30,12,1235,14820,41,8,16,6,4.0
CUST0287,46,Male,Delhi,Graduate,106100,37,20,2501,50020,61,14,15,7,2.8
CUST0288,46,Male,Chennai,Postgraduate,64000,29,12,2068,24816,31,11,17,7,3.6
CUST0289,53,Male,Chennai,Graduate,67200,22,11,2133,23463,24,11,11,9,3.4
CUST0290,40,Female,Pune,Graduate,41300,4,16,1316,21056,35,12,19,8,2.3
CUST0291,49,Female,Delhi,Diploma,45500,20,12,400,4800,4,10,16,8,3.1
CUST0292,52,Female,Delhi,Graduate,18000,32,14,2231,31234,31,10,17,6,3.6
